DateTime;Attention;Meditation;Raw;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2
13.04.2018 19:40;61;35;0;0;75948;8615;9668;7014;24060;8229;8308
13.04.2018 19:40;61;38;0;0;11746;2861;3292;3900;3897;2194;1562
13.04.2018 19:40;35;41;0;0;98558;32857;8725;11854;2402;2060;3312
13.04.2018 19:40;26;51;0;0;64194;26680;9173;4219;4050;3023;3237
13.04.2018 19:40;20;69;0;0;59110;55944;22246;14729;15800;12569;11952
13.04.2018 19:40;20;75;0;0;121480;49419;63895;36545;55652;56233;10197
13.04.2018 19:40;50;63;0;0;56776;7590;4482;6712;33056;14094;10090
13.04.2018 19:40;51;51;0;0;85260;9632;13321;36267;6408;14744;10366
13.04.2018 19:40;43;34;0;0;323054;27993;29052;17549;14202;17984;25803
13.04.2018 19:40;24;27;0;0;392009;114079;23600;21217;14802;25270;66101
13.04.2018 19:40;24;41;0;0;14523;7071;10706;8780;18010;17415;37551
13.04.2018 19:40;29;44;0;0;36924;11139;1800;6157;5825;2837;5397
13.04.2018 19:40;35;54;0;0;53546;16275;12169;12017;5869;5696;291931
13.04.2018 19:40;61;54;0;0;14052;5286;6378;4848;15310;8885;13497
13.04.2018 19:40;43;60;0;0;63304;34534;18492;6681;6965;2823;69508
13.04.2018 19:40;44;67;0;0;166129;67932;107774;48469;52739;35507;297215
13.04.2018 19:40;41;66;0;0;302194;95036;24628;23430;16218;11314;272395
13.04.2018 19:40;37;57;0;0;39011;1801;7461;11751;15324;21047;250321
13.04.2018 19:40;38;44;0;0;42828;5121;6510;12571;3807;4587;61269
13.04.2018 19:40;17;37;0;0;305799;69734;22871;43406;6367;8444;11691
13.04.2018 19:40;21;48;0;0;68149;63968;34804;13626;12082;16245;9029
13.04.2018 19:41;1;54;0;0;233667;33035;33338;25987;8042;1652;3681
13.04.2018 19:41;8;54;0;0;199472;42460;16097;40228;40914;23160;27535
13.04.2018 19:41;20;64;0;0;64669;41789;17180;9190;8978;5150;4699
13.04.2018 19:41;35;53;0;0;30981;16126;4489;14927;17986;34854;36188
13.04.2018 19:41;63;53;0;0;20602;9572;10395;27284;30383;11128;13841
13.04.2018 19:41;57;63;0;0;31458;130;22769;3862;4231;6149;2559
13.04.2018 19:41;60;53;0;0;343506;82334;21207;30765;35219;76401;28546
13.04.2018 19:41;40;61;0;0;78842;62388;16042;16584;5747;11896;13418
13.04.2018 19:41;29;63;0;0;53622;5505;17248;15359;18645;21116;20518
13.04.2018 19:41;38;53;0;0;74627;15054;15660;27579;19018;24161;59274
13.04.2018 19:41;48;66;0;0;51417;64175;35502;16592;41746;11344;62504
13.04.2018 19:41;64;61;0;0;21994;13105;1376;5543;8738;10672;12846
13.04.2018 19:41;57;70;0;0;16838;14583;11442;9061;4878;2493;3958
13.04.2018 19:41;56;80;0;0;85407;45518;21128;32959;27449;28384;10743
13.04.2018 19:41;50;63;0;0;65889;9946;7049;6573;11037;23675;6797
13.04.2018 19:41;54;61;0;0;23735;9756;5030;3489;16006;22114;13491
13.04.2018 19:41;69;56;0;0;8662;5583;4753;5453;11307;9956;23218
13.04.2018 19:41;63;64;0;0;6886;7510;4615;1077;1678;1967;1451
13.04.2018 19:41;56;61;0;0;30051;3424;1800;1470;2004;1702;5900
13.04.2018 19:41;38;44;0;0;43539;1268;2813;9197;2542;2406;1728
13.04.2018 19:41;17;41;0;0;26381;5111;5498;3384;1928;952;1265
13.04.2018 19:41;24;30;0;0;60586;11494;26102;7691;16526;11141;1452
13.04.2018 19:41;23;48;0;0;35841;45849;9609;43411;5048;13007;12066
13.04.2018 19:41;37;70;0;0;34251;10224;46912;8449;24450;14008;35966
13.04.2018 19:41;38;74;0;0;114402;15771;36316;19790;9885;18938;125576
13.04.2018 19:41;23;66;0;0;35432;6510;3800;2557;1561;3925;2734
13.04.2018 19:41;35;67;0;0;46273;51779;24704;36807;25449;13781;47900
13.04.2018 19:41;17;53;0;0;348091;10765;55347;9248;14341;7834;55717
13.04.2018 19:41;23;44;0;0;61966;2430;9766;7911;8037;7142;211042
13.04.2018 19:41;47;48;0;0;8762;9729;7320;24702;13212;12419;292520
13.04.2018 19:41;51;47;0;0;25870;12005;19141;13416;16978;8647;91458
13.04.2018 19:41;50;50;0;0;62120;13304;6213;2983;2508;1225;1045
13.04.2018 19:41;57;48;0;0;6193;224;1380;4504;2333;1327;2321
13.04.2018 19:41;35;41;0;0;71841;14561;1481;3663;2842;2675;2422
13.04.2018 19:41;47;37;0;0;2293;712;4173;3661;9228;1472;6911
13.04.2018 19:41;53;34;0;0;74010;5030;10688;6406;6048;6095;3725
13.04.2018 19:41;38;41;0;0;62298;15237;5329;5036;4262;5948;6466
13.04.2018 19:41;57;51;0;0;5089;1379;6181;4142;4141;4091;7519
13.04.2018 19:41;41;56;0;0;111754;65128;21325;27194;36069;19541;227514
13.04.2018 19:41;50;67;0;0;111462;63608;36296;11351;34281;10807;143954
13.04.2018 19:41;60;61;0;0;200882;9464;37925;31970;43835;35947;172078
13.04.2018 19:41;43;67;0;0;142287;159234;30160;21905;19458;40489;154146
13.04.2018 19:41;34;56;0;0;57675;7113;4593;5839;3397;3094;26628
13.04.2018 19:41;30;48;0;0;45643;18727;5775;17656;11177;7676;9044
13.04.2018 19:41;35;51;0;0;25382;9223;4728;25693;9056;5860;32341
13.04.2018 19:41;53;41;0;0;17702;490;15532;7818;17782;12931;18228
13.04.2018 19:41;60;50;0;0;92978;22886;23564;15373;16041;11545;42680
13.04.2018 19:41;67;48;0;0;24759;9381;4475;13537;15013;9996;12268
13.04.2018 19:41;57;56;0;0;15308;4956;5733;4770;1692;1322;14298
13.04.2018 19:41;40;48;0;0;465934;81724;16797;33529;38197;51650;7597
13.04.2018 19:41;40;43;0;0;36996;8759;1690;5171;4297;5780;14486
13.04.2018 19:41;27;51;0;0;55346;22415;30645;25587;11437;10840;59742
13.04.2018 19:41;37;63;0;0;11689;34416;26775;13846;12829;12146;28310
